customerID,BeginDate,EndDate,Type,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
2954-PIBKO,2014-05-01,No,Two year,Yes,Credit card (automatic),64.15,4780.46
8012-SOUDQ,2016-07-01,No,Month-to-month,Yes,Electronic check,90.25,3880.75
9420-LOJKX,2018-09-01,No,Month-to-month,Yes,Credit card (automatic),99.1,1684.7
6575-SUVOI,2018-01-01,No,Month-to-month,Yes,Credit card (automatic),69.5,1807.0
7495-OOKFY,2019-03-01,No,Month-to-month,Yes,Credit card (automatic),80.65,887.15
4667-QONEA,2015-02-01,No,One year,Yes,Credit card (automatic),74.85,4491.0
1658-BYGOY,2018-07-01,No,Month-to-month,Yes,Electronic check,95.45,1813.55
8769-KKTPH,2014-11-01,No,One year,Yes,Credit card (automatic),99.65,6277.95
5067-XJQFU,2014-08-01,No,One year,Yes,Electronic check,108.45,7730.32
3957-SQXML,2017-04-01,No,Two year,No,Credit card (automatic),24.95,890.72
5954-BDFSG,2014-02-01,No,Two year,Yes,Credit card (automatic),107.5,7740.0
0434-CSFON,2016-03-01,No,Month-to-month,Yes,Electronic check,100.5,4723.5
1215-FIGMP,2015-02-01,2018-07-01,Month-to-month,Yes,Bank transfer (automatic),89.9,3685.9
0526-SXDJP,2014-02-01,No,Two year,No,Bank transfer (automatic),42.1,3304.01
0557-ASKVU,2018-08-01,No,One year,Yes,Credit card (automatic),54.4,1008.58
5698-BQJOH,2019-04-01,No,Month-to-month,No,Electronic check,94.4,944.0
5122-CYFXA,2019-11-01,No,Month-to-month,Yes,Electronic check,75.3,243.97
8627-ZYGSZ,2016-03-01,No,One year,Yes,Electronic check,78.9,3930.8
3410-YOQBQ,2017-07-01,No,Two year,No,Mailed check,79.2,2455.2
3170-NMYVV,2015-12-01,No,Two year,No,Bank transfer (automatic),20.15,1007.5
7410-OIEDU,2019-04-01,No,Month-to-month,Yes,Mailed check,79.85,870.37
2273-QCKXA,2020-01-01,No,Month-to-month,No,Mailed check,49.05,52.48
0731-EBJQB,2015-10-01,No,One year,Yes,Electronic check,20.4,1060.8
1891-QRQSA,2014-10-01,No,Two year,Yes,Bank transfer (automatic),111.6,7142.4
8028-PNXHQ,2014-12-01,No,Two year,Yes,Bank transfer (automatic),24.25,1503.5
5630-AHZIL,2019-11-01,No,Month-to-month,Yes,Bank transfer (automatic),64.5,193.5
2673-CXQEU,2015-06-01,No,One year,No,Electronic check,110.5,6435.52
6416-JNVRK,2016-04-01,No,One year,No,Credit card (automatic),55.65,2764.69
5590-ZSKRV,2019-06-01,No,Month-to-month,No,Mailed check,54.65,437.2
0191-ZHSKZ,2017-08-01,No,Month-to-month,Yes,Electronic check,74.75,2287.35
3887-PBQAO,2016-05-01,2017-09-01,One year,Yes,Credit card (automatic),25.9,414.4
5919-TMRGD,2019-11-01,No,Month-to-month,Yes,Electronic check,79.35,238.05
8108-UXRQN,2019-03-01,No,Month-to-month,No,Electronic check,50.55,600.53
9191-MYQKX,2019-03-01,No,Month-to-month,Yes,Bank transfer (automatic),75.15,834.92
9919-YLNNG,2016-08-01,No,Month-to-month,Yes,Bank transfer (automatic),103.8,4446.79
0318-ZOPWS,2016-01-01,No,Two year,Yes,Bank transfer (automatic),20.15,987.35
4445-ZJNMU,2019-05-01,No,Month-to-month,Yes,Credit card (automatic),99.3,893.7
4808-YNLEU,2017-03-01,No,One year,Yes,Bank transfer (automatic),62.15,2327.52
1862-QRWPE,2016-02-01,No,Two year,No,Bank transfer (automatic),20.65,991.2
2796-NNUFI,2016-04-01,No,Two year,Yes,Mailed check,19.95,917.7
3016-KSVCP,2017-09-01,No,Month-to-month,No,Mailed check,33.75,978.75
4767-HZZHQ,2017-08-01,No,Month-to-month,No,Bank transfer (automatic),82.05,2461.5
2424-WVHPL,2020-01-01,No,Month-to-month,No,Electronic check,74.7,79.93
7233-PAHHL,2014-08-01,No,Two year,Yes,Mailed check,84.0,5876.64
6067-NGCEU,2014-09-01,2015-09-01,Month-to-month,Yes,Credit card (automatic),111.05,1359.25
9848-JQJTX,2014-02-01,2016-07-01,Two year,Yes,Bank transfer (automatic),100.9,2984.62
8637-XJIVR,2018-12-01,No,Month-to-month,Yes,Electronic check,78.95,1149.51
9803-FTJCG,2014-03-01,No,One year,Yes,Credit card (automatic),66.85,5078.59
0278-YXOOG,2019-06-01,No,Month-to-month,No,Mailed check,21.05,181.87
3212-KXOCR,2015-10-01,No,Two year,No,Bank transfer (automatic),21.0,1135.68
4598-XLKNJ,2017-12-01,No,Month-to-month,Yes,Electronic check,98.5,2637.83
6380-ARCEH,2020-01-01,No,Month-to-month,No,Mailed check,20.2,20.2
3679-XASPY,2020-01-01,No,Month-to-month,No,Electronic check,19.45,19.45
7123-WQUHX,2016-12-01,No,One year,No,Bank transfer (automatic),95.0,3610.0
5386-THSLQ,2014-08-01,2016-06-01,One year,No,Bank transfer (automatic),45.55,1072.25
3192-NQECA,2014-03-01,2018-03-01,Two year,Yes,Bank transfer (automatic),110.0,5385.6
6180-YBIQI,2019-09-01,No,Month-to-month,No,Mailed check,24.3,130.0
6728-DKUCO,2014-02-01,No,One year,Yes,Electronic check,104.15,7498.8
9750-BOOHV,2017-06-01,2019-02-01,One year,No,Mailed check,30.15,603.0
8597-CWYHH,2016-07-01,No,One year,No,Mailed check,94.35,4138.19
2848-YXSMW,2014-02-01,2018-06-01,Two year,No,Credit card (automatic),19.4,1008.8
0486-HECZI,2015-05-01,2018-11-01,Month-to-month,Yes,Electronic check,96.75,4429.22
4549-ZDQYY,2015-10-01,No,One year,No,Credit card (automatic),57.95,3164.07
5712-AHQNN,2016-07-01,No,Month-to-month,Yes,Electronic check,91.65,4256.23
4846-WHAFZ,2016-10-01,2019-06-01,Month-to-month,Yes,Electronic check,76.5,2448.0
5256-SKJGO,2014-10-01,No,Two year,Yes,Electronic check,54.6,3529.34
3071-VBYPO,2019-11-01,No,Month-to-month,No,Electronic check,89.85,269.55
9560-BBZXK,2017-02-01,No,Two year,No,Bank transfer (automatic),31.05,1173.69
5299-RULOA,2019-02-01,No,Month-to-month,Yes,Electronic check,100.25,1299.24
8402-OOOHJ,2016-09-01,No,Two year,No,Mailed check,20.65,922.85
9445-ZUEQE,2017-11-01,No,Month-to-month,Yes,Credit card (automatic),85.2,2346.41
1091-SOZGA,2015-06-01,2019-06-01,One year,Yes,Credit card (automatic),99.8,4790.4
2928-HLDBA,2019-08-01,No,Month-to-month,No,Mailed check,20.7,124.2
0404-SWRVG,2019-09-01,No,Month-to-month,Yes,Electronic check,74.4,372.0
6497-TILVL,2019-07-01,No,Month-to-month,No,Mailed check,50.7,386.84
7219-TLZHO,2019-10-01,No,Month-to-month,No,Mailed check,20.85,83.4
4622-YNKIJ,2017-05-01,No,Two year,Yes,Electronic check,88.95,2935.35
4412-YLTKF,2017-10-01,No,Month-to-month,Yes,Electronic check,78.05,2185.4
6734-PSBAW,2014-02-01,No,Two year,Yes,Bank transfer (automatic),23.55,1780.38
3930-ZGWVE,2020-01-01,No,Month-to-month,No,Mailed check,19.75,19.75
2639-UGMAZ,2014-03-01,No,One year,Yes,Electronic check,56.45,4007.95
2876-GZYZC,2019-01-01,No,Month-to-month,Yes,Electronic check,85.95,1173.22
6207-WIOLX,2017-12-01,No,Month-to-month,Yes,Credit card (automatic),58.6,1523.6
8587-XYZSF,2014-07-01,No,Two year,No,Bank transfer (automatic),50.55,3691.67
3091-FYHKI,2019-12-01,No,Month-to-month,Yes,Electronic check,35.45,75.15
2372-HWUHI,2019-11-01,No,Month-to-month,No,Electronic check,44.35,145.02
7799-LGRDP,2016-07-01,No,Two year,Yes,Credit card (automatic),25.7,1204.56
7850-VWJUU,2018-03-01,No,Month-to-month,Yes,Bank transfer (automatic),75.0,1725.0
3774-VBNXY,2014-10-01,2020-01-01,Two year,No,Mailed check,20.2,1272.6
6217-KDYWC,2015-05-01,No,Two year,Yes,Mailed check,19.6,1161.89
0390-DCFDQ,2019-10-01,No,Month-to-month,Yes,Mailed check,70.45,281.8
3146-MSEGF,2014-02-01,No,Two year,Yes,Credit card (automatic),88.05,6529.79
4080-OGPJL,2019-02-01,No,Month-to-month,No,Electronic check,71.15,853.8
1095-WGNGG,2015-01-01,No,Two year,Yes,Bank transfer (automatic),101.05,6657.17
2636-SJDOU,2014-10-01,No,One year,Yes,Credit card (automatic),84.3,5611.01
1131-QQZEB,2014-03-01,No,Two year,No,Bank transfer (automatic),23.95,1700.45
5716-EZXZN,2014-09-01,No,Two year,Yes,Credit card (automatic),99.05,6502.63
6837-BJYDQ,2019-11-01,No,One year,No,Mailed check,19.6,58.8
2135-RXIHG,2019-12-01,No,Month-to-month,Yes,Electronic check,45.65,91.3
6440-DKQGE,2017-08-01,2019-11-01,One year,No,Credit card (automatic),64.5,1776.33
3466-BYAVD,2018-11-01,No,Month-to-month,Yes,Mailed check,69.5,1125.9
3780-YVMFA,2019-06-01,No,Month-to-month,Yes,Electronic check,68.55,548.4
3874-EQOEP,2019-06-01,No,Month-to-month,No,Mailed check,95.0,790.4
1679-JRFBR,2014-04-01,2016-09-01,One year,Yes,Credit card (automatic),108.15,3387.26
9073-ZZIAY,2014-12-01,2018-11-01,Two year,No,Electronic check,86.1,4289.5
3077-RSNTJ,2019-08-01,No,Month-to-month,No,Mailed check,19.7,124.11
6551-GNYDG,2018-12-01,No,Month-to-month,Yes,Bank transfer (automatic),80.9,1189.23
9167-APMXZ,2018-04-01,No,Month-to-month,Yes,Bank transfer (automatic),84.15,1851.3
2749-CTKAJ,2018-04-01,No,One year,No,Mailed check,20.15,443.3
6371-NZYEG,2018-10-01,No,Two year,No,Mailed check,64.25,1120.52
7554-NEWDD,2019-04-01,No,Two year,No,Bank transfer (automatic),25.7,274.99
8992-VONJD,2019-01-01,No,Month-to-month,Yes,Electronic check,56.0,728.0
0867-MKZVY,2018-03-01,No,Month-to-month,No,Electronic check,82.4,1933.1
4482-EWFMI,2019-12-01,No,Month-to-month,Yes,Electronic check,69.7,139.4
4648-YPBTM,2015-09-01,No,Two year,Yes,Bank transfer (automatic),73.9,3916.7
2907-ILJBN,2019-03-01,No,One year,No,Mailed check,20.6,231.13
6345-FZOQH,2014-05-01,2015-06-01,Two year,No,Mailed check,19.9,263.87
3376-BMGFE,2019-07-01,No,Month-to-month,Yes,Bank transfer (automatic),70.9,516.15
5997-OPVFA,2014-02-01,2015-06-01,Two year,Yes,Bank transfer (automatic),89.05,1424.8
3445-HXXGF,2015-03-01,2016-12-01,Month-to-month,Yes,Electronic check,45.3,989.35
1159-WFSGR,2018-10-01,No,Month-to-month,No,Electronic check,20.4,326.4
7654-YWJUF,2016-07-01,2019-05-01,One year,Yes,Bank transfer (automatic),84.25,2864.5
1875-QIVME,2019-11-01,No,Month-to-month,Yes,Electronic check,104.4,338.26
6727-IOTLZ,2018-12-01,No,Two year,No,Mailed check,81.95,1239.08
0691-JVSYA,2015-05-01,2019-04-01,One year,Yes,Bank transfer (automatic),94.85,4457.95
5918-VUKWP,2017-06-01,No,One year,No,Bank transfer (automatic),20.55,657.6
1744-JHKYS,2017-04-01,No,Month-to-month,No,Electronic check,24.7,890.19
2656-FMOKZ,2018-07-01,No,Month-to-month,Yes,Mailed check,74.45,1428.7
2070-FNEXE,2019-06-01,No,Month-to-month,No,Bank transfer (automatic),76.45,636.06
5947-SGKCL,2018-11-01,No,Month-to-month,Yes,Bank transfer (automatic),105.35,1738.28
3712-PKXZA,2015-01-01,2019-04-01,One year,Yes,Credit card (automatic),20.55,1048.05
6317-YPKDH,2019-12-01,No,Month-to-month,No,Bank transfer (automatic),29.95,62.3
6582-OIVSP,2020-01-01,No,Month-to-month,No,Mailed check,45.3,48.02
9367-WXLCH,2019-02-01,No,Month-to-month,No,Bank transfer (automatic),84.5,1034.28
5524-KHNJP,2017-05-01,2019-04-01,One year,No,Credit card (automatic),74.75,1719.25
1918-ZBFQJ,2018-09-01,No,Month-to-month,Yes,Electronic check,79.25,1347.25
1024-GUALD,2019-10-01,No,Month-to-month,Yes,Electronic check,24.8,99.2
4827-USJHP,2018-06-01,No,Month-to-month,Yes,Mailed check,51.8,1118.88
8167-GJLRN,2019-11-01,No,Month-to-month,No,Electronic check,30.4,93.02
0956-SYCWG,2019-01-01,No,One year,No,Electronic check,19.65,255.45
8017-UVSZU,2016-10-01,2019-05-01,Month-to-month,No,Credit card (automatic),56.6,1754.6
7100-FQPRV,2016-07-01,No,One year,Yes,Credit card (automatic),71.9,3091.7
2472-OVKUP,2019-07-01,No,Month-to-month,Yes,Electronic check,91.0,700.7
2984-RGEYA,2014-05-01,No,Two year,No,Bank transfer (automatic),19.75,1362.75
9680-NIAUV,2014-02-01,2018-11-01,Two year,No,Credit card (automatic),109.7,6690.6
2146-EGVDT,2015-03-01,No,Two year,No,Credit card (automatic),19.3,1184.25
2604-IJPDU,2018-06-01,No,Month-to-month,Yes,Electronic check,96.55,2027.55
9178-JHUVJ,2018-02-01,No,Two year,Yes,Bank transfer (automatic),24.1,578.4
6168-YBYNP,2015-03-01,No,Month-to-month,Yes,Electronic check,111.35,6569.65
7255-SSFBC,2014-02-01,No,Two year,Yes,Bank transfer (automatic),112.25,8324.46
3645-DEYGF,2020-01-01,No,Month-to-month,No,Mailed check,20.75,22.0
9323-HGFWY,2017-11-01,No,One year,Yes,Credit card (automatic),101.9,2751.3
8544-GOQSH,2018-12-01,No,Month-to-month,Yes,Credit card (automatic),80.05,1120.7
3363-DTIVD,2014-03-01,2016-07-01,Two year,No,Electronic check,105.55,3044.06
7018-WBJNK,2019-01-01,No,Month-to-month,Yes,Credit card (automatic),78.3,1017.9
9142-KZXOP,2016-06-01,No,Month-to-month,No,Credit card (automatic),68.85,3089.99
7674-YTAFD,2017-05-01,No,One year,Yes,Bank transfer (automatic),79.95,2823.03
6348-SNFUS,2014-02-01,2017-06-01,Two year,Yes,Credit card (automatic),55.45,2395.44
1285-OKIPP,2019-12-01,No,Month-to-month,No,Electronic check,79.9,174.18
7825-ECJRF,2018-06-01,No,Month-to-month,Yes,Electronic check,106.6,2153.32
1347-KTTTA,2014-10-01,No,One year,Yes,Credit card (automatic),102.45,6622.37
7841-TZDMQ,2019-10-01,No,Month-to-month,Yes,Credit card (automatic),46.0,185.84
4195-NZGTA,2020-01-01,No,Month-to-month,No,Electronic check,25.25,25.25
7157-SMCFK,2015-01-01,2017-08-01,Two year,No,Mailed check,19.75,612.25
4709-LKHYG,2017-09-01,No,One year,No,Electronic check,20.0,585.8
2504-DSHIH,2018-03-01,No,Month-to-month,No,Electronic check,86.8,2016.36
0699-NDKJM,2015-05-01,2018-04-01,Month-to-month,Yes,Bank transfer (automatic),58.75,2159.06
9286-BHDQG,2014-02-01,No,Two year,No,Credit card (automatic),45.25,3355.74
0230-WEQUW,2014-08-01,2017-08-01,Two year,Yes,Bank transfer (automatic),56.6,2078.35
2040-LDIWQ,2014-09-01,No,Two year,Yes,Bank transfer (automatic),84.2,5473.0
6496-JDSSB,2019-06-01,No,Month-to-month,Yes,Bank transfer (automatic),80.0,691.2
9408-SSNVZ,2019-09-01,No,Month-to-month,Yes,Electronic check,70.15,350.75
4443-EMBNA,2014-03-01,2018-08-01,Two year,No,Bank transfer (automatic),24.75,1377.34
6469-MRVET,2020-01-01,No,One year,Yes,Electronic check,20.2,20.2
0742-MOABM,2019-07-01,No,Month-to-month,No,Mailed check,50.05,357.36
5961-VUSRV,2019-02-01,No,One year,Yes,Bank transfer (automatic),19.35,232.2
6778-JFCMK,2018-02-01,No,One year,Yes,Mailed check,50.6,1323.7
6341-JVQGF,2017-07-01,2018-02-01,One year,Yes,Mailed check,81.15,579.41
2232-DMLXU,2019-12-01,No,Month-to-month,No,Mailed check,55.2,110.4
4811-JBUVU,2017-08-01,No,Month-to-month,Yes,Credit card (automatic),89.9,2697.0
0945-TSONX,2016-03-01,No,Two year,Yes,Credit card (automatic),85.3,4129.37
2651-ZCBXV,2015-08-01,No,Two year,Yes,Credit card (automatic),108.0,5832.0
3316-UWXUY,2015-12-01,No,Month-to-month,Yes,Credit card (automatic),93.5,5002.25
8937-RDTHP,2019-10-01,No,Month-to-month,Yes,Mailed check,84.6,338.4
7083-MIOPC,2014-02-01,2018-08-01,Two year,No,Credit card (automatic),20.25,1093.5
1984-GPTEH,2017-09-01,No,Month-to-month,No,Electronic check,25.15,758.52
1251-KRREG,2019-10-01,No,Month-to-month,Yes,Mailed check,54.4,217.6
0621-JFHOL,2019-04-01,No,Two year,Yes,Mailed check,29.6,298.96
9903-LYSAB,2018-08-01,No,Month-to-month,Yes,Electronic check,73.15,1316.7
0094-OIFMO,2018-12-01,No,Month-to-month,Yes,Electronic check,95.0,1330.0
9227-UAQFT,2018-10-01,No,Two year,No,Mailed check,19.75,316.0
7301-ABVAD,2014-02-01,No,Two year,No,Bank transfer (automatic),86.6,6858.72
6614-FHDBO,2014-02-01,2016-12-01,Two year,No,Bank transfer (automatic),109.2,3712.8
7576-ASEJU,2016-09-01,No,One year,Yes,Credit card (automatic),74.7,3062.7
9058-HRZSV,2014-09-01,No,Month-to-month,No,Electronic check,94.4,6749.6
4522-AKYLR,2019-01-01,No,Month-to-month,Yes,Electronic check,54.8,712.4
0221-WMXNQ,2019-10-01,No,Month-to-month,No,Electronic check,75.35,301.4
0303-UNCIP,2016-09-01,No,One year,No,Mailed check,65.0,2665.0
9947-OTFQU,2018-10-01,2019-07-01,Month-to-month,Yes,Electronic check,74.4,669.6
0322-YINQP,2019-09-01,No,Month-to-month,Yes,Mailed check,48.55,242.75
0959-WHOKV,2016-08-01,No,One year,Yes,Electronic check,99.0,4158.0
4075-JFPGR,2015-11-01,No,One year,Yes,Electronic check,93.5,4768.5
4629-NRXKX,2019-09-01,No,Month-to-month,No,Electronic check,70.4,362.56
9514-JDSKI,2019-11-01,No,Month-to-month,No,Electronic check,40.2,129.04
3282-ZISZV,2017-06-01,No,One year,No,Credit card (automatic),83.7,2678.4
3675-YDUPJ,2019-04-01,No,Month-to-month,Yes,Mailed check,19.85,204.46
4111-BNXIF,2014-07-01,No,Two year,Yes,Electronic check,59.55,3989.85
7017-VFHAY,2015-01-01,No,Two year,No,Credit card (automatic),115.1,7372.15
6655-LHBYW,2015-12-01,No,One year,No,Credit card (automatic),114.35,6003.38
4959-JOSRX,2019-08-01,No,Month-to-month,Yes,Credit card (automatic),44.6,267.6
5046-NUHWD,2017-09-01,No,Month-to-month,Yes,Electronic check,45.0,1318.05
7273-TEFQD,2019-08-01,No,Month-to-month,Yes,Electronic check,41.15,246.9
3606-TWKGI,2018-12-01,2019-02-01,Month-to-month,Yes,Electronic check,106.9,213.8
7529-ZDFXI,2015-05-01,2018-09-01,Month-to-month,Yes,Electronic check,89.85,3594.0
7605-BDWDC,2017-07-01,No,Two year,Yes,Bank transfer (automatic),49.85,1638.07
1950-KSVVJ,2016-05-01,No,One year,No,Mailed check,113.3,5404.41
0123-CRBRT,2015-01-01,No,Two year,No,Mailed check,88.1,5696.55
6292-TOSSS,2015-12-01,No,Two year,No,Bank transfer (automatic),24.9,1294.8
3197-ARFOY,2018-07-01,No,Month-to-month,Yes,Mailed check,105.0,1995.0
6323-AYBRX,2015-02-01,2015-12-01,Two year,No,Mailed check,19.35,193.5
7014-ZZXAW,2014-03-01,2014-06-01,Two year,Yes,Credit card (automatic),24.25,77.84
4385-GZQXV,2018-06-01,No,Month-to-month,Yes,Electronic check,94.45,1889.0
7633-MVPUY,2015-05-01,No,Two year,Yes,Electronic check,59.75,3610.1
6366-ZGQGL,2019-11-01,No,Month-to-month,No,Bank transfer (automatic),24.8,74.4
4716-HHKQH,2018-06-01,No,Month-to-month,No,Electronic check,107.05,2141.0
5940-AHUHD,2019-12-01,No,Month-to-month,No,Mailed check,70.6,141.2
6432-TWQLB,2019-05-01,No,Month-to-month,Yes,Electronic check,85.4,768.6
4484-GLZOU,2015-09-01,2018-10-01,Month-to-month,Yes,Electronic check,105.05,4042.32
3179-GBRWV,2018-05-01,No,Month-to-month,Yes,Bank transfer (automatic),64.95,1391.23
8645-KWHJO,2018-12-01,No,Month-to-month,Yes,Electronic check,55.0,770.0
4130-MZLCC,2019-09-01,No,Month-to-month,No,Bank transfer (automatic),50.55,252.75
0314-TKOSI,2019-08-01,No,Month-to-month,No,Mailed check,55.15,330.9
8229-MYEJZ,2019-04-01,No,Month-to-month,No,Electronic check,51.2,558.08
2080-SRCDE,2020-01-01,No,Month-to-month,No,Mailed check,25.4,25.4
9577-WJVCQ,2014-06-01,2019-08-01,Month-to-month,No,Mailed check,54.45,3375.9
9512-UIBFX,2018-06-01,2018-11-01,Month-to-month,No,Mailed check,95.15,475.75
6202-DYYFX,2018-04-01,No,One year,Yes,Credit card (automatic),76.0,1738.88
3808-HFKDE,2018-06-01,No,Month-to-month,Yes,Electronic check,44.35,922.48
5583-SXDAG,2019-09-01,No,Month-to-month,No,Electronic check,70.0,378.0
3488-PGMQJ,2019-02-01,No,Month-to-month,Yes,Electronic check,74.5,894.0
3580-REOAC,2019-03-01,No,Month-to-month,Yes,Credit card (automatic),44.85,498.28
7534-BFESC,2017-11-01,No,Month-to-month,Yes,Electronic check,76.1,2260.17
3727-OWVYD,2017-03-01,No,One year,No,Mailed check,61.2,2291.94
2294-SALNE,2018-03-01,No,One year,No,Mailed check,86.8,1996.4
4847-TAJYI,2019-08-01,No,Month-to-month,Yes,Electronic check,89.35,546.82
1563-IWQEX,2019-02-01,No,Month-to-month,No,Mailed check,19.7,238.76
8203-XJZRC,2020-01-01,No,Month-to-month,No,Mailed check,20.25,20.25
6556-DBKZF,2014-03-01,No,Two year,No,Electronic check,76.05,5399.55
6851-WEFYX,2017-03-01,No,Month-to-month,Yes,Electronic check,100.8,3810.24
2985-JUUBZ,2016-10-01,2019-01-01,Month-to-month,Yes,Electronic check,74.55,2032.98
6390-DSAZX,2019-11-01,No,Month-to-month,Yes,Mailed check,73.6,229.63
0895-LMRSF,2018-03-01,No,One year,Yes,Bank transfer (automatic),64.9,1507.63
8098-LLAZX,2019-06-01,No,Month-to-month,Yes,Electronic check,95.45,786.51
8266-VBFQL,2019-10-01,No,Month-to-month,Yes,Electronic check,90.4,390.53
8181-YHCMF,2014-06-01,No,Two year,No,Credit card (automatic),60.3,4387.43
2240-HSJQD,2016-12-01,No,Month-to-month,Yes,Mailed check,81.85,3172.51
1248-DYXUB,2015-10-01,No,Two year,No,Mailed check,24.8,1289.6
0265-EDXBD,2017-04-01,No,Month-to-month,Yes,Electronic check,74.9,2546.6
4115-BNPJY,2017-09-01,No,Two year,No,Mailed check,75.55,2190.95
3167-SNQPL,2016-12-01,No,Month-to-month,No,Electronic check,101.15,3882.14
4091-TVOCN,2016-02-01,No,One year,Yes,Credit card (automatic),78.75,3931.2
1098-TDVUQ,2020-01-01,No,Month-to-month,Yes,Bank transfer (automatic),19.25,19.83
7277-OZCGZ,2018-04-01,No,Month-to-month,Yes,Electronic check,89.05,2057.05
1557-EMYVT,2016-07-01,No,Two year,No,Credit card (automatic),115.05,5145.04
2799-ARNLO,2019-09-01,No,Month-to-month,Yes,Electronic check,69.35,346.75
7563-BIUPC,2019-05-01,No,Month-to-month,Yes,Electronic check,80.6,725.4
5027-YOCXN,2015-11-01,No,One year,No,Credit card (automatic),110.05,6173.81
3973-SKMLN,2014-03-01,No,Two year,Yes,Credit card (automatic),19.9,1412.9
